Store,Date,Dept,Weekly_Sales,IsHoliday,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,Type,Size
45,2010-07-16,79,15436.04,false,77.84,2.783,0.0,0.0,0.0,0.0,0.0,182.26044,8.743,B,118221
45,2010-07-23,79,16580.43,false,81.46,2.771,0.0,0.0,0.0,0.0,0.0,182.35098,8.743,B,118221
45,2010-07-30,79,15259.63,false,79.78,2.781,0.0,0.0,0.0,0.0,0.0,182.44154,8.743,B,118221
45,2010-08-06,79,16019.14,false,77.17,2.784,0.0,0.0,0.0,0.0,0.0,182.53209,8.743,B,118221
45,2010-08-13,79,16152.16,false,78.44,2.805,0.0,0.0,0.0,0.0,0.0,182.62263,8.743,B,118221
45,2010-08-20,79,14132.0,false,76.01,2.779,0.0,0.0,0.0,0.0,0.0,182.61652,8.743,B,118221
45,2010-08-27,79,13948.7,false,71.36,2.755,0.0,0.0,0.0,0.0,0.0,182.61041,8.743,B,118221
45,2010-09-03,79,15789.81,false,78.37,2.715,0.0,0.0,0.0,0.0,0.0,182.6043,8.743,B,118221
45,2010-09-10,79,14785.4,true,70.87,2.699,0.0,0.0,0.0,0.0,0.0,182.59818,8.743,B,118221
45,2010-09-17,79,15852.61,false,66.55,2.706,0.0,0.0,0.0,0.0,0.0,182.62251,8.743,B,118221
45,2010-09-24,79,14489.47,false,68.59,2.713,0.0,0.0,0.0,0.0,0.0,182.66968,8.743,B,118221
45,2010-10-01,79,15016.24,false,70.58,2.707,0.0,0.0,0.0,0.0,0.0,182.71684,8.724,B,118221
45,2010-10-08,79,16230.21,false,56.49,2.764,0.0,0.0,0.0,0.0,0.0,182.764,8.724,B,118221
45,2010-10-15,79,14163.57,false,58.61,2.868,0.0,0.0,0.0,0.0,0.0,182.81062,8.724,B,118221
45,2010-10-22,79,14355.58,false,53.15,2.917,0.0,0.0,0.0,0.0,0.0,182.85587,8.724,B,118221
45,2010-10-29,79,13594.17,false,61.3,2.921,0.0,0.0,0.0,0.0,0.0,182.90112,8.724,B,118221
45,2010-11-05,79,15815.04,false,45.65,2.917,0.0,0.0,0.0,0.0,0.0,182.94637,8.724,B,118221
45,2010-11-12,79,15058.93,false,46.14,2.931,0.0,0.0,0.0,0.0,0.0,182.99161,8.724,B,118221
45,2010-11-19,79,13451.83,false,50.02,3.0,0.0,0.0,0.0,0.0,0.0,182.89894,8.724,B,118221
45,2010-11-26,79,15375.08,true,46.15,3.039,0.0,0.0,0.0,0.0,0.0,182.78328,8.724,B,118221
45,2010-12-03,79,15197.26,false,40.93,3.046,0.0,0.0,0.0,0.0,0.0,182.66762,8.724,B,118221
45,2010-12-10,79,14133.75,false,30.54,3.109,0.0,0.0,0.0,0.0,0.0,182.55196,8.724,B,118221
45,2010-12-17,79,14826.9,false,30.51,3.14,0.0,0.0,0.0,0.0,0.0,182.51773,8.724,B,118221
45,2010-12-24,79,18162.28,false,30.59,3.141,0.0,0.0,0.0,0.0,0.0,182.54459,8.724,B,118221
45,2010-12-31,79,12635.77,true,29.67,3.179,0.0,0.0,0.0,0.0,0.0,182.57144,8.724,B,118221
45,2011-01-07,79,13138.59,false,34.32,3.193,0.0,0.0,0.0,0.0,0.0,182.59831,8.549,B,118221
45,2011-01-14,79,13634.9,false,24.78,3.205,0.0,0.0,0.0,0.0,0.0,182.65858,8.549,B,118221
45,2011-01-21,79,14529.21,false,30.55,3.229,0.0,0.0,0.0,0.0,0.0,182.91934,8.549,B,118221
45,2011-01-28,79,13471.6,false,24.05,3.237,0.0,0.0,0.0,0.0,0.0,183.1801,8.549,B,118221
45,2011-02-04,79,15271.39,false,28.73,3.231,0.0,0.0,0.0,0.0,0.0,183.44086,8.549,B,118221
45,2011-02-11,79,16653.16,true,30.3,3.239,0.0,0.0,0.0,0.0,0.0,183.70161,8.549,B,118221
45,2011-02-18,79,16076.58,false,40.7,3.245,0.0,0.0,0.0,0.0,0.0,183.93713,8.549,B,118221
45,2011-02-25,79,15104.8,false,35.78,3.274,0.0,0.0,0.0,0.0,0.0,184.16257,8.549,B,118221
45,2011-03-04,79,15421.34,false,38.65,3.433,0.0,0.0,0.0,0.0,0.0,184.38799,8.549,B,118221
45,2011-03-11,79,14994.68,false,45.01,3.582,0.0,0.0,0.0,0.0,0.0,184.61342,8.549,B,118221
45,2011-03-18,79,14356.81,false,46.66,3.631,0.0,0.0,0.0,0.0,0.0,184.80972,8.549,B,118221
45,2011-03-25,79,14047.08,false,41.76,3.625,0.0,0.0,0.0,0.0,0.0,184.99437,8.549,B,118221
45,2011-04-01,79,15403.1,false,37.27,3.638,0.0,0.0,0.0,0.0,0.0,185.17902,8.521,B,118221
45,2011-04-08,79,15403.87,false,48.71,3.72,0.0,0.0,0.0,0.0,0.0,185.36366,8.521,B,118221
45,2011-04-15,79,14363.86,false,53.69,3.821,0.0,0.0,0.0,0.0,0.0,185.53398,8.521,B,118221
45,2011-04-22,79,15298.29,false,53.04,3.892,0.0,0.0,0.0,0.0,0.0,185.66847,8.521,B,118221
45,2011-04-29,79,13950.09,false,66.18,3.962,0.0,0.0,0.0,0.0,0.0,185.80295,8.521,B,118221
45,2011-05-06,79,14710.87,false,58.21,4.046,0.0,0.0,0.0,0.0,0.0,185.93744,8.521,B,118221
45,2011-05-13,79,13913.63,false,60.38,4.066,0.0,0.0,0.0,0.0,0.0,186.07193,8.521,B,118221
45,2011-05-20,79,12305.43,false,62.28,4.062,0.0,0.0,0.0,0.0,0.0,185.96611,8.521,B,118221
45,2011-05-27,79,14748.25,false,69.7,3.985,0.0,0.0,0.0,0.0,0.0,185.8603,8.521,B,118221
45,2011-06-03,79,13712.06,false,76.38,3.922,0.0,0.0,0.0,0.0,0.0,185.7545,8.521,B,118221
45,2011-06-10,79,15832.46,false,73.88,3.881,0.0,0.0,0.0,0.0,0.0,185.6487,8.521,B,118221
45,2011-06-17,79,15604.54,false,69.32,3.842,0.0,0.0,0.0,0.0,0.0,185.67194,8.521,B,118221
45,2011-06-24,79,13525.49,false,74.85,3.804,0.0,0.0,0.0,0.0,0.0,185.79196,8.521,B,118221
45,2011-07-01,79,15586.19,false,74.04,3.748,0.0,0.0,0.0,0.0,0.0,185.91199,8.625,B,118221
45,2011-07-08,79,16196.42,false,77.49,3.711,0.0,0.0,0.0,0.0,0.0,186.03201,8.625,B,118221
45,2011-07-15,79,14877.28,false,78.47,3.76,0.0,0.0,0.0,0.0,0.0,186.13998,8.625,B,118221
45,2011-07-22,79,16015.6,false,82.33,3.811,0.0,0.0,0.0,0.0,0.0,186.21779,8.625,B,118221
45,2011-07-29,79,14983.17,false,81.31,3.829,0.0,0.0,0.0,0.0,0.0,186.2956,8.625,B,118221
45,2011-08-05,79,16529.82,false,78.22,3.842,0.0,0.0,0.0,0.0,0.0,186.3734,8.625,B,118221
45,2011-08-12,79,14327.14,false,77.0,3.812,0.0,0.0,0.0,0.0,0.0,186.45122,8.625,B,118221
45,2011-08-19,79,13689.64,false,72.98,3.747,0.0,0.0,0.0,0.0,0.0,186.50931,8.625,B,118221
45,2011-08-26,79,16392.58,false,72.55,3.704,0.0,0.0,0.0,0.0,0.0,186.56412,8.625,B,118221
45,2011-09-02,79,14327.17,false,70.63,3.703,0.0,0.0,0.0,0.0,0.0,186.61893,8.625,B,118221
45,2011-09-09,79,14709.47,true,71.48,3.738,0.0,0.0,0.0,0.0,0.0,186.67374,8.625,B,118221
45,2011-09-16,79,14233.88,false,69.17,3.742,0.0,0.0,0.0,0.0,0.0,186.8024,8.625,B,118221
45,2011-09-23,79,14580.94,false,63.75,3.711,0.0,0.0,0.0,0.0,0.0,187.02953,8.625,B,118221
45,2011-09-30,79,13744.81,false,70.66,3.645,0.0,0.0,0.0,0.0,0.0,187.25667,8.625,B,118221
45,2011-10-07,79,14001.22,false,55.82,3.583,0.0,0.0,0.0,0.0,0.0,187.4838,8.523,B,118221
45,2011-10-14,79,15315.14,false,63.82,3.541,0.0,0.0,0.0,0.0,0.0,187.69174,8.523,B,118221
45,2011-10-21,79,14531.92,false,59.6,3.57,0.0,0.0,0.0,0.0,0.0,187.78462,8.523,B,118221
45,2011-10-28,79,14731.39,false,51.78,3.569,0.0,0.0,0.0,0.0,0.0,187.87749,8.523,B,118221
45,2011-11-04,79,15522.39,false,43.92,3.551,0.0,0.0,0.0,0.0,0.0,187.97037,8.523,B,118221
45,2011-11-11,79,15965.74,false,47.65,3.53,23052.25,5449.62,189.24,3355.69,3864.6,188.06323,8.523,B,118221
45,2011-11-18,79,14395.75,false,51.34,3.53,4240.34,132.96,111.71,270.14,7073.0,188.19836,8.523,B,118221
45,2011-11-25,79,17443.44,true,48.71,3.492,140.87,384.82,26961.99,28.59,1110.12,188.3504,8.523,B,118221
45,2011-12-02,79,15518.08,false,50.19,3.452,6835.61,120.76,802.79,2490.15,17861.5,188.50244,8.523,B,118221
45,2011-12-09,79,16682.59,false,46.57,3.415,6176.69,2.87,379.57,1593.44,10170.5,188.65446,8.523,B,118221
45,2011-12-16,79,15585.2,false,39.93,3.413,4631.26,8.92,801.34,848.33,2757.82,188.79793,8.523,B,118221
